NO,Temp,Time
168,16,38,11/02/2013 9:26:28
169,16,38,11/02/2013 9:26:30
170,16,38,11/02/2013 9:26:32
171,16,38,11/02/2013 9:26:34
172,16,38,11/02/2013 9:26:36
173,16,38,11/02/2013 9:26:38
174,16,38,11/02/2013 9:26:40
175,16,38,11/02/2013 9:26:42
176,16,38,11/02/2013 9:26:44
177,16,38,11/02/2013 9:26:46
178,16,38,11/02/2013 9:26:48
179,16,38,11/02/2013 9:26:50
180,16,38,11/02/2013 9:26:52
181,16,38,11/02/2013 9:26:54
182,16,38,11/02/2013 9:26:56
183,16,38,11/02/2013 9:26:58
184,16,38,11/02/2013 9:27:00
185,16,38,11/02/2013 9:27:02
186,16,38,11/02/2013 9:27:04
187,16,38,11/02/2013 9:27:06
188,16,50,11/02/2013 9:27:08
189,16,50,11/02/2013 9:27:10
190,16,38,11/02/2013 9:27:12
191,16,50,11/02/2013 9:27:14
192,16,50,11/02/2013 9:27:16
193,16,50,11/02/2013 9:27:18
194,16,50,11/02/2013 9:27:20
195,16,50,11/02/2013 9:27:22
196,16,50,11/02/2013 9:27:24
197,16,50,11/02/2013 9:27:26
198,16,50,11/02/2013 9:27:28
199,16,50,11/02/2013 9:27:30
200,16,50,11/02/2013 9:27:32
201,16,50,11/02/2013 9:27:34
202,16,50,11/02/2013 9:27:36
203,16,50,11/02/2013 9:27:38
204,16,50,11/02/2013 9:27:40
205,16,50,11/02/2013 9:27:42
206,16,50,11/02/2013 9:27:44
207,16,50,11/02/2013 9:27:46
208,16,50,11/02/2013 9:27:48
209,16,50,11/02/2013 9:27:50
210,16,50,11/02/2013 9:27:52
211,16,50,11/02/2013 9:27:54
212,16,50,11/02/2013 9:27:56
213,16,50,11/02/2013 9:27:58
214,16,50,11/02/2013 9:28:00
215,16,50,11/02/2013 9:28:02
216,16,50,11/02/2013 9:28:04
217,16,50,11/02/2013 9:28:06
218,16,50,11/02/2013 9:28:08
219,16,50,11/02/2013 9:28:10
220,16,50,11/02/2013 9:28:12
221,16,50,11/02/2013 9:28:14
222,16,50,11/02/2013 9:28:16
223,16,63,11/02/2013 9:28:18
224,16,63,11/02/2013 9:28:20
225,16,63,11/02/2013 9:28:22
226,16,63,11/02/2013 9:28:24
227,16,63,11/02/2013 9:28:26
228,16,63,11/02/2013 9:28:28
229,16,63,11/02/2013 9:28:30
230,16,63,11/02/2013 9:28:32
231,16,63,11/02/2013 9:28:34
232,16,63,11/02/2013 9:28:36
233,16,63,11/02/2013 9:28:38
234,16,63,11/02/2013 9:28:40
235,16,63,11/02/2013 9:28:42
236,16,63,11/02/2013 9:28:44
237,16,63,11/02/2013 9:28:46
238,16,63,11/02/2013 9:28:48
239,16,63,11/02/2013 9:28:50
240,16,63,11/02/2013 9:28:52
241,16,63,11/02/2013 9:28:54
242,16,63,11/02/2013 9:28:56
243,16,63,11/02/2013 9:28:58
244,16,63,11/02/2013 9:29:00
245,16,63,11/02/2013 9:29:02
246,16,63,11/02/2013 9:29:04
247,16,63,11/02/2013 9:29:06
248,16,63,11/02/2013 9:29:08
249,16,63,11/02/2013 9:29:10
250,16,63,11/02/2013 9:29:12
251,16,63,11/02/2013 9:29:14
252,16,63,11/02/2013 9:29:16
253,16,63,11/02/2013 9:29:18
254,16,63,11/02/2013 9:29:20
255,16,63,11/02/2013 9:29:22
256,16,63,11/02/2013 9:29:24
257,16,63,11/02/2013 9:29:26
258,16,75,11/02/2013 9:29:28
259,16,63,11/02/2013 9:29:30
260,16,75,11/02/2013 9:29:32
261,16,75,11/02/2013 9:29:34
262,16,75,11/02/2013 9:29:36
263,16,75,11/02/2013 9:29:38
264,16,75,11/02/2013 9:29:40
265,16,75,11/02/2013 9:29:42
266,16,75,11/02/2013 9:29:44
267,16,75,11/02/2013 9:29:46
268,16,75,11/02/2013 9:29:48
269,16,75,11/02/2013 9:29:50
270,16,75,11/02/2013 9:29:52
271,16,75,11/02/2013 9:29:54
272,16,75,11/02/2013 9:29:56
273,16,75,11/02/2013 9:29:58
274,16,75,11/02/2013 9:30:00
275,16,75,11/02/2013 9:30:02
276,16,75,11/02/2013 9:30:04
277,16,75,11/02/2013 9:30:06
278,16,75,11/02/2013 9:30:08
279,16,75,11/02/2013 9:30:10
280,16,75,11/02/2013 9:30:12
281,16,75,11/02/2013 9:30:14
282,16,75,11/02/2013 9:30:16
283,16,75,11/02/2013 9:30:18
284,16,75,11/02/2013 9:30:20
285,16,75,11/02/2013 9:30:22
286,16,75,11/02/2013 9:30:24
287,16,75,11/02/2013 9:30:26
288,16,75,11/02/2013 9:30:28
289,16,75,11/02/2013 9:30:30
290,16,75,11/02/2013 9:30:32
291,16,75,11/02/2013 9:30:34
292,16,75,11/02/2013 9:30:36
293,16,75,11/02/2013 9:30:38
294,16,75,11/02/2013 9:30:40
295,16,75,11/02/2013 9:30:42
296,16,75,11/02/2013 9:30:44
297,16,75,11/02/2013 9:30:46
298,16,75,11/02/2013 9:30:48
299,16,75,11/02/2013 9:30:50
300,16,75,11/02/2013 9:30:52
301,16,75,11/02/2013 9:30:54
302,16,75,11/02/2013 9:30:57
303,16,75,11/02/2013 9:30:59
304,16,75,11/02/2013 9:31:01
305,16,75,11/02/2013 9:31:03
306,16,75,11/02/2013 9:31:05
307,16,75,11/02/2013 9:31:07
308,16,75,11/02/2013 9:31:09
309,16,88,11/02/2013 9:31:11
310,16,88,11/02/2013 9:31:13
311,16,88,11/02/2013 9:31:15
312,16,88,11/02/2013 9:31:17
313,16,88,11/02/2013 9:31:19
314,16,88,11/02/2013 9:31:21
315,16,88,11/02/2013 9:31:23
316,16,88,11/02/2013 9:31:25
317,16,88,11/02/2013 9:31:27
318,16,88,11/02/2013 9:31:29
319,16,88,11/02/2013 9:31:31
320,16,88,11/02/2013 9:31:33
321,16,88,11/02/2013 9:31:35
322,16,88,11/02/2013 9:31:37
323,16,88,11/02/2013 9:31:39
324,16,88,11/02/2013 9:31:41
325,16,88,11/02/2013 9:31:43
326,16,88,11/02/2013 9:31:45
